family,methodId,methodKey,engineId,upstreamCommit,metric,unit,estimator,estimate,contributingScenarios,freezeManifestSha256
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,maximum_pre_correction_penetration,m,median,1.1616927564350732e-7,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,normalized_travel_time,ratio conditional on success,median,0.9944441619556902,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,path_ratio,path length / straight-line distance,median,1.0108308936048604,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_acceleration,m/s^2,median,2.3213480215965694,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_jerk,m/s^3,median,139.9101769847087,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,correction_ratio,ratio,median,0,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,avoidance_onset_rate,fraction,mean,0.515,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,ttc_at_onset,s,median,,92,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,minimum_pre_correction_physical_clearance,m,median,0.23141422829469804,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,minimum_post_correction_physical_clearance,m,median,0.23141422829469804,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,success_fraction,fraction,mean,0.8126666666666668,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.07790981481481535,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,maximum_pre_correction_penetration,m,median,0.011258213553854701,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,normalized_travel_time,ratio conditional on success,median,1.4692446739805654,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,path_ratio,path length / straight-line distance,median,0.9051975419512417,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_acceleration,m/s^2,median,1.9246292006516326,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_jerk,m/s^3,median,115.77297752636699,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,correction_ratio,ratio,median,0,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,success_fraction,fraction,mean,0.046388888888888896,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.2766419312169313,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,maximum_pre_correction_penetration,m,median,0.018792712764399866,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,normalized_travel_time,ratio conditional on success,median,1.5663067639991088,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,path_ratio,path length / straight-line distance,median,0.9562671548946868,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_acceleration,m/s^2,median,1.2198837136492133,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,rms_jerk,m/s^3,median,70.44807045889186,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
